filepath,class_label,is_duplicate_of
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_055.jpg,gummosis,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_054.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_065.jpg,gummosis,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_064.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_087.jpg,gummosis,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_086.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_144.jpg,gummosis,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_143.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_145.jpg,gummosis,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_143.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_147.jpg,gummosis,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_146.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_157.jpg,gummosis,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_156.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_167.jpg,gummosis,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_166.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_170.jpg,gummosis,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_169.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_175.jpg,gummosis,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_174.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_191.jpg,gummosis,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_190.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_195.jpg,gummosis,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_193.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_197.jpg,gummosis,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_194.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_207.jpg,gummosis,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_206.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_231.jpg,gummosis,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_230.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_268.jpg,gummosis,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_267.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_301.jpg,gummosis,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_300.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_303.jpg,gummosis,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_302.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_308.jpg,gummosis,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_305.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_321.jpg,gummosis,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_320.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_355.jpg,gummosis,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_354.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_363.jpg,gummosis,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_362.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_381.jpg,gummosis,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_379.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_401.jpg,gummosis,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_400.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_427.jpg,gummosis,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\gummosis\gummosis_426.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_010.jpg,healthy,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_009.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_012.jpg,healthy,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_011.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_027.jpg,healthy,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_026.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_032.jpg,healthy,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_030.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_043.jpg,healthy,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_041.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_045.jpg,healthy,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_044.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_060.jpg,healthy,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_059.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_065.jpg,healthy,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_064.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_066.jpg,healthy,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_064.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_068.jpg,healthy,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_064.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_069.jpg,healthy,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_067.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_102.jpg,healthy,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_101.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_128.jpg,healthy,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_127.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_141.jpg,healthy,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_140.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_147.jpg,healthy,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_146.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_153.jpg,healthy,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_152.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_155.jpg,healthy,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_152.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_179.jpg,healthy,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_178.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_190.jpg,healthy,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_189.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_196.jpg,healthy,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_195.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_201.jpg,healthy,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_200.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_203.jpg,healthy,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_200.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_205.jpg,healthy,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_204.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_223.jpg,healthy,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_222.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_257.jpg,healthy,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_255.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_292.jpg,healthy,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_291.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_348.jpg,healthy,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\healthy\healthy_347.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_018.jpg,leaf_minnor,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_017.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_047.jpg,leaf_minnor,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_045.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_048.jpg,leaf_minnor,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_045.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_064.jpg,leaf_minnor,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_063.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_073.jpg,leaf_minnor,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_072.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_077.jpg,leaf_minnor,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_076.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_090.jpg,leaf_minnor,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_089.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_091.jpg,leaf_minnor,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_089.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_108.jpg,leaf_minnor,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_107.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_125.jpg,leaf_minnor,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_122.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_154.jpg,leaf_minnor,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_153.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_194.jpg,leaf_minnor,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_193.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_195.jpg,leaf_minnor,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_193.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_198.jpg,leaf_minnor,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_197.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_200.jpg,leaf_minnor,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_197.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_209.jpg,leaf_minnor,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_208.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_238.jpg,leaf_minnor,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_237.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_251.jpg,leaf_minnor,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_250.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_253.jpg,leaf_minnor,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_252.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_269.jpg,leaf_minnor,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_268.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_345.jpg,leaf_minnor,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_321.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_369.jpg,leaf_minnor,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_368.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_392.jpg,leaf_minnor,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_391.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_399.jpg,leaf_minnor,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_398.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_410.jpg,leaf_minnor,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_409.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_421.jpg,leaf_minnor,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_420.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_444.jpg,leaf_minnor,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_443.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_450.jpg,leaf_minnor,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\leaf_minnor\leaf_minor_449.jpg
