filepath,class_label,width,height,filesize_bytes,format,phash,group_id,duplicate_type,split
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_018.jpg,aphids,3024,4032,1221393,JPEG,9cb3f6b9ad428c24,15,near,test
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_019.jpg,aphids,3024,4032,1211997,JPEG,9cb1f6f9ac628c24,16,none,test
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_020.jpg,aphids,3024,4032,1195633,JPEG,9cb1f6f9ac4a8c24,16,near,test
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_021.jpg,aphids,3024,4032,1215785,JPEG,9cb1f6f9ac488c25,16,near,test
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_022.jpg,aphids,3024,4032,1247600,JPEG,98b3f6f9ac488c25,17,none,val
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_023.jpg,aphids,3024,4032,1300755,JPEG,99b6f6b9ac508c85,18,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_024.jpg,aphids,3024,4032,1320834,JPEG,99b6f6b0ad468ca4,2,near,test
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_025.jpg,aphids,3024,4032,1307163,JPEG,9b9cf2b8964786a4,19,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_026.jpg,aphids,3024,4032,1318026,JPEG,9a9cf1b8b64786a4,19,near,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_027.jpg,aphids,3024,4032,1282971,JPEG,9a9cf1b8b6478e24,20,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_028.jpg,aphids,3024,4032,1296879,JPEG,999cf2b8b3738324,21,none,test
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_029.jpg,aphids,3024,4032,1315467,JPEG,9897f2b8a56387a4,22,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_030.jpg,aphids,3024,4032,1260592,JPEG,8c95dbb88563c6a6,23,none,val
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_031.jpg,aphids,3024,4032,1204766,JPEG,8c97f2bb85628ea4,24,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_032.jpg,aphids,3024,4032,1264646,JPEG,98b7f2b98d628ca4,25,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_033.jpg,aphids,3024,4032,1257873,JPEG,99b6f2bb8d428ca4,25,near,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_034.jpg,aphids,3024,4032,1267397,JPEG,9996f2bbad428ca4,26,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_035.jpg,aphids,3024,4032,1287815,JPEG,999ef6baa5468c84,27,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_036.jpg,aphids,3024,4032,1276056,JPEG,9996f6baa5c68c84,27,near,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_037.jpg,aphids,3024,4032,1275103,JPEG,99b6f2ba85c68ca4,28,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_038.jpg,aphids,3024,4032,1292587,JPEG,99b7d2f88c668e84,29,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_039.jpg,aphids,3024,4032,1335697,JPEG,99b7d2fa84668e84,29,near,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_040.jpg,aphids,3024,4032,1318020,JPEG,99bfd6f984468c84,30,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_041.jpg,aphids,3024,4032,1364326,JPEG,9bbcd6f984478684,31,none,val
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_042.jpg,aphids,3024,4032,1380421,JPEG,9a9dd7b8b6478680,32,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_043.jpg,aphids,3024,4032,1376346,JPEG,9a9dd7b8964786a0,32,near,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_044.jpg,aphids,3024,4032,1338354,JPEG,9895d3b887e786a4,33,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_045.jpg,aphids,3024,4032,1315343,JPEG,98b7d2b985e686a4,34,none,test
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_046.jpg,aphids,3024,4032,1330989,JPEG,99b6f2b88d668ca4,25,near,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_047.jpg,aphids,3024,4032,1266500,JPEG,98b7f2bb8c628ca4,25,near,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_048.jpg,aphids,3024,4032,1255262,JPEG,98b7f2bd8c4a8ca4,4,near,test
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_049.jpg,aphids,3024,4032,1273861,JPEG,98b7f2bd8c628ca4,25,near,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_050.jpg,aphids,3024,4032,1330912,JPEG,99bed2f08ce68ca4,35,none,val
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_051.jpg,aphids,3024,4032,1308020,JPEG,98b7d2bb85e68684,34,near,test
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_052.jpg,aphids,3024,4032,1426253,JPEG,8897d3b895e786a4,33,near,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_053.jpg,aphids,3024,4032,1383076,JPEG,999dd3b897c386a0,9,near,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_055.jpg,aphids,3024,4032,1364325,JPEG,999dd3b895e386a0,36,none,test
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_056.jpg,aphids,3024,4032,1387582,JPEG,8897d3ba95e386a4,37,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_057.jpg,aphids,3024,4032,1371057,JPEG,99bed2f88ce68c84,29,near,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_058.jpg,aphids,3024,4032,1368137,JPEG,99b6f2f08ce68ca4,35,near,val
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_059.jpg,aphids,3024,4032,1356070,JPEG,9bbcf6e088cc88ad,38,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_060.jpg,aphids,3024,4032,1389851,JPEG,99bef6e08c4c88ad,38,near,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_061.jpg,aphids,3024,4032,1390246,JPEG,98b7f2e48c4a8cad,39,none,val
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_062.jpg,aphids,3024,4032,1372921,JPEG,98b5f2e48c4a99ad,39,near,val
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_063.jpg,aphids,3024,4032,1367261,JPEG,98b5f4e48c4a99ad,40,none,val
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_064.jpg,aphids,3024,4032,1390599,JPEG,99b4f4e08c4a99af,40,near,val
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_065.jpg,aphids,3024,4032,1388625,JPEG,99bef4f08d4488ad,41,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_066.jpg,aphids,3024,4032,1352757,JPEG,99bcf6f088c68ca5,42,none,test
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_067.jpg,aphids,3024,4032,1354566,JPEG,99bcd2fb85668684,43,none,val
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_068.jpg,aphids,3024,4032,1363128,JPEG,9897d2fa85e78684,44,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_069.jpg,aphids,3024,4032,1352361,JPEG,989dd2fa9563c684,45,none,test
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_070.jpg,aphids,3024,4032,1389263,JPEG,989dd2b897e3c684,45,near,test
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_071.jpg,aphids,3024,4032,1416097,JPEG,9b9dd3b895c3c680,36,near,test
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_072.jpg,aphids,3024,4032,1365835,JPEG,9b8cd5b897c3c3a0,46,none,val
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_073.jpg,aphids,3024,4032,1410219,JPEG,8b8cd5b89ed3c390,47,none,test
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_074.jpg,aphids,3024,4032,1402658,JPEG,898cd5b89fd3c390,47,near,test
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_075.jpg,aphids,3024,4032,1359860,JPEG,898cd7b897c3e390,48,none,test
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_076.jpg,aphids,3024,4032,1449716,JPEG,9bbdd6faa442c680,49,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_077.jpg,aphids,3024,4032,1363775,JPEG,9bb4f4e1a949cc89,50,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_078.jpg,aphids,3024,4032,1376526,JPEG,99b5f4e1a849da89,51,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_079.jpg,aphids,3024,4032,1317091,JPEG,99b5f4e0aa60db89,52,none,val
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_080.jpg,aphids,3024,4032,1348559,JPEG,99b5f6e1894cd889,53,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_081.jpg,aphids,3024,4032,1397372,JPEG,99b5f6e18d4a9909,54,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_082.jpg,aphids,3024,4032,1332169,JPEG,98b7f6e18c4b9903,55,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_083.jpg,aphids,3024,4032,1486112,JPEG,9bb5f6f0bd664200,56,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_084.jpg,aphids,3024,4032,1509011,JPEG,8c92d55a9eb3a09b,57,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_085.jpg,aphids,3024,4032,1396282,JPEG,9b20ce5259b46bad,58,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_086.jpg,aphids,3024,4032,1376870,JPEG,8906ea535cb26da7,59,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_087.jpg,aphids,3024,4032,1355075,JPEG,99a0ecd25ab2792d,60,none,test
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_088.jpg,aphids,3024,4032,1351235,JPEG,9ba5f6f0a8644754,61,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_089.jpg,aphids,3024,4032,1385800,JPEG,98b1f6f0ac664556,62,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_090.jpg,aphids,3024,4032,1326592,JPEG,98b1f6f0ac66c552,62,near,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_091.jpg,aphids,3024,4032,1319212,JPEG,9ab1f6f0ac664552,62,near,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_092.jpg,aphids,3024,4032,1361252,JPEG,98b1f6f1ac664554,62,near,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_093.jpg,aphids,3024,4032,1366377,JPEG,99a5f6f1ac664066,63,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_094.jpg,aphids,3024,4032,1391099,JPEG,99a5d6f0bd624266,64,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_095.jpg,aphids,3024,4032,1395895,JPEG,99a4d6f0bda209f2,65,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_096.jpg,aphids,3024,4032,1378704,JPEG,9bacd6f0bba008f8,66,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_097.jpg,aphids,3024,4032,1293021,JPEG,9ba45678bbb4095c,67,none,val
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_098.jpg,aphids,3024,4032,1302153,JPEG,9aa45758baf00f5c,68,none,test
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_099.jpg,aphids,3024,4032,1334034,JPEG,9b8453d9baf0075c,69,none,val
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_100.jpg,aphids,3024,4032,1336072,JPEG,8b84615dbff5024e,70,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_101.jpg,aphids,3024,4032,1266465,JPEG,8b8c614dbef7024e,70,near,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_102.jpg,aphids,3024,4032,1317059,JPEG,8b86525dafd1264e,71,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_103.jpg,aphids,3024,4032,1353315,JPEG,88a4525b9fb00dfb,72,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_104.jpg,aphids,3024,4032,1307730,JPEG,8ca4d37a9db203f2,73,none,test
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_105.jpg,aphids,4032,3024,1133582,JPEG,dde13847d26660da,74,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_106.jpg,aphids,4032,3024,1132707,JPEG,dde1384f927260da,74,near,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_107.jpg,aphids,4032,3024,1132121,JPEG,dde1384f927224da,75,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_108.jpg,aphids,4032,3024,1106028,JPEG,dce1384f937264d8,75,near,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_109.jpg,aphids,4032,3024,1086733,JPEG,dcf1384f93370499,76,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_110.jpg,aphids,4032,3024,1072590,JPEG,dcf1304f972f0499,76,near,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_111.jpg,aphids,4032,3024,1111503,JPEG,fcd1304f952f4499,77,none,val
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_112.jpg,aphids,4032,3024,1113462,JPEG,fef0304f912d84d9,78,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_113.jpg,aphids,4032,3024,1067985,JPEG,feb0304f912fc4c9,78,near,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_114.jpg,aphids,4032,3024,1098883,JPEG,dcb0314f912eccd9,79,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_115.jpg,aphids,4032,3024,1107594,JPEG,fcd1314f112dcc99,80,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_116.jpg,aphids,4032,3024,1080958,JPEG,dcb1384e35299d99,81,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_117.jpg,aphids,4032,3024,1054255,JPEG,fc91304e352d9d99,81,near,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_118.jpg,aphids,4032,3024,1039425,JPEG,fe90348f93258c9d,82,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_119.jpg,aphids,4032,3024,1037753,JPEG,fe9035cf9224e0d9,83,none,test
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_120.jpg,aphids,4032,3024,1004644,JPEG,feb034cd90e4e1c3,84,none,test
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_121.jpg,aphids,4032,3024,1089304,JPEG,fab0358e91e4d1e2,85,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_122.jpg,aphids,4032,3024,1175724,JPEG,d8c70b1397cba49c,86,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_123.jpg,aphids,4032,3024,1212645,JPEG,d8c7033b87caac9c,87,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_124.jpg,aphids,4032,3024,1271919,JPEG,d8d7013b8ee9a6a4,88,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_125.jpg,aphids,4032,3024,972394,JPEG,f08333dca56b29b2,89,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_126.jpg,aphids,4032,3024,966359,JPEG,f18333dca56b29b0,89,near,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_127.jpg,aphids,4032,3024,988024,JPEG,fa83335cb62b2991,90,none,test
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_128.jpg,aphids,4032,3024,992898,JPEG,faa3335cb5632990,91,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_129.jpg,aphids,4032,3024,1008278,JPEG,f8a3335cb76a2990,91,near,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_130.jpg,aphids,4032,3024,994504,JPEG,f183335cb56b2991,92,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_131.jpg,aphids,4032,3024,1014027,JPEG,f183335ca56b0bb1,92,near,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_132.jpg,aphids,4032,3024,995018,JPEG,f883335cb6632b91,90,near,test
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_133.jpg,aphids,4032,3024,1021555,JPEG,f884335cb7636b90,93,none,test
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_134.jpg,aphids,4032,3024,1014650,JPEG,faa2314cb7632bb0,94,none,val
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_135.jpg,aphids,4032,3024,1025079,JPEG,fea2314eb7232b90,94,near,val
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_136.jpg,aphids,4032,3024,1058516,JPEG,fea2384eb72323b0,95,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_137.jpg,aphids,4032,3024,1105100,JPEG,fee2384e973123b0,95,near,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_138.jpg,aphids,4032,3024,1099240,JPEG,fee6304e87232bb0,96,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_139.jpg,aphids,4032,3024,1101398,JPEG,fee6384e87212bb0,96,near,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_140.jpg,aphids,4032,3024,1104150,JPEG,dec6384e87612bb4,97,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_141.jpg,aphids,4032,3024,1113930,JPEG,dec6384ea76129b4,97,near,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_142.jpg,aphids,4032,3024,1105804,JPEG,dec6386e856129b6,97,near,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_143.jpg,aphids,4032,3024,1143885,JPEG,cfc6386ea16b21b2,98,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_144.jpg,aphids,4284,5712,1104539,JPEG,efc0fea21c3a2564,99,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_145.jpg,aphids,4284,5712,1085450,JPEG,efc0fea219322764,99,near,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_146.jpg,aphids,4284,5712,1082225,JPEG,efc0ffa01c2a2764,99,near,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_147.jpg,aphids,4284,5712,1086737,JPEG,efc0ffa41c2a2364,100,none,val
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_148.jpg,aphids,4284,5712,1081557,JPEG,efc0fe851d2a2364,100,near,val
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_149.jpg,aphids,4284,5712,1080418,JPEG,efd0fe851c2a2362,101,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_150.jpg,aphids,4284,5712,1091694,JPEG,efc0fea11c2a2764,99,near,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_151.jpg,aphids,3024,4032,817335,JPEG,efc0f3a01d1b2764,102,none,test
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_152.jpg,aphids,3024,4032,806281,JPEG,edc0f3f01d1b2564,102,near,test
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_153.jpg,aphids,3024,4032,811100,JPEG,edc0f6f01d132565,103,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_154.jpg,aphids,3024,4032,794452,JPEG,edc0f6f31c3e2144,104,none,test
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_155.jpg,aphids,3024,4032,817947,JPEG,edc0f6f30c3e2941,104,near,test
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_158.jpg,aphids,3024,4032,786463,JPEG,edc0f6f30c3e094a,105,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_159.jpg,aphids,3024,4032,775422,JPEG,edc0f6f31c3c2948,104,near,test
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_160.jpg,aphids,3024,4032,750153,JPEG,edc0f6f31d032b48,106,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_161.jpg,aphids,3024,4032,784866,JPEG,efc0f3b81d132564,102,near,test
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_162.jpg,aphids,3024,4032,842793,JPEG,efc0f7a81d132664,102,near,test
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_163.jpg,aphids,3024,4032,844481,JPEG,efc0fba81d032764,102,near,test
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_164.jpg,aphids,3024,4032,851501,JPEG,efc0ffa11c0a2366,100,near,val
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_165.jpg,aphids,3024,4032,859467,JPEG,ffc0fe8d19022372,107,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_166.jpg,aphids,3024,4032,859309,JPEG,bfd0fe8d19022372,107,near,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_167.jpg,aphids,3024,4032,843942,JPEG,bbd1ee86180e237a,108,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_169.jpg,aphids,3024,4032,846732,JPEG,bbd1ee86080e317b,108,near,train
